one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen
,b,c,d,e,1,g,,,j,,123,,,o,,q,,s
1,b,c,,,1,g,,,j,,123,,,o,,q,,s
1,,,,,1,g,,,j,,123,,,o,,q,,s
1,b,,,,1,g,,,j,,123,,,o,,q,,s
1,,c,,,1,g,,,j,,123,,,o,,q,,s
0,,,d,e,1,g,,,j,,123,,,o,,q,,s
0,,,,,1,g,,,j,,123,,,o,,q,,s
0,,,d,,1,g,,,j,,123,,,o,,q,,s
0,,,,e,1,g,,,j,,123,,,o,,q,,s
1,b,c,d,,1,g,,,j,,123,,,o,,q,,s
0,b,,d,e,1,g,,,j,,123,,,o,,q,,s
1,b,c,,,1,g,,,j,,123,,,o,,q,,s
1,b,c,,,0,,h,i,j,,123,,,o,,q,,s
1,b,c,,,1,,h,,j,,123,,,o,,q,,s
1,b,c,,,1,g,,,j,,123,,,o,,q,,s
1,b,c,,,1,g,,,j,k,123,,,o,,q,,s
1,b,c,,,1,g,,,j,,123,m,,o,,q,,s
1,b,c,,,1,g,,,j,,123,m,n,o,,q,,s
1,b,c,,,1,g,,,j,,123,,,,,,,
1,b,c,,,1,g,,,j,,string,m,,o,,q,,s
